signalType,sampleRate,algorithm,algorithmParameters,trueFreq,predFreq,time
square,44100,cepstrum,isCustomFFT=False,75,538.330078125,0.000353315997926984
square,44100,HPS,isCustomFFT=False&numDownsamples=4,75,21.533203125,0.003831166999589186
square,44100,average,b=1&isCustomFFT=False&numDownsamples=4,75,71.533203125,17.700189996990957
square,44100,median,b=1&isCustomFFT=False&numDownsamples=4,75,75.0,17.700189996990957
triangle,44100,zerocross,n/a,75,75.0,0.0001600399991730228
triangle,44100,autocorrelation,n/a,75,44100.0,7.002008196002862
triangle,44100,AMDF,b=1,75,75.0,8.616326352006581
triangle,44100,naiveFT,isCustomFFT=False,75,64.599609375,0.0003005980033776723
triangle,44100,cepstrum,isCustomFFT=False,75,3678.5888671875,0.00033587199868634343
triangle,44100,HPS,isCustomFFT=False&numDownsamples=4,75,21.533203125,0.0038908620044821873
triangle,44100,average,b=1&isCustomFFT=False&numDownsamples=4,75,71.533203125,15.623021920015162
triangle,44100,median,b=1&isCustomFFT=False&numDownsamples=4,75,75.0,15.623021920015162
sineWith10Harmonics,44100,zerocross,n/a,75,75.0,0.00017890999879455194
sineWith10Harmonics,44100,autocorrelation,n/a,75,44100.0,8.03847998999845
sineWith10Harmonics,44100,AMDF,b=1,75,75.0,8.649655068998982
sineWith10Harmonics,44100,naiveFT,isCustomFFT=False,75,64.599609375,0.00030230900301830843
sineWith10Harmonics,44100,cepstrum,isCustomFFT=False,75,3678.5888671875,0.00033399400126654655
sineWith10Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,75,21.533203125,0.0038438970004790463
sineWith10Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,75,71.533203125,16.69279416900099
sineWith10Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,75,75.0,16.69279416900099
sineWith20Harmonics,44100,zerocross,n/a,75,75.0,0.0001582059994689189
sineWith20Harmonics,44100,autocorrelation,n/a,75,44100.0,7.332370201998856
sineWith20Harmonics,44100,AMDF,b=1,75,75.0,8.59140366200154
sineWith20Harmonics,44100,naiveFT,isCustomFFT=False,75,64.599609375,0.00029801799973938614
sineWith20Harmonics,44100,cepstrum,isCustomFFT=False,75,3678.5888671875,0.0003384890005690977
sineWith20Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,75,21.533203125,0.003928409998479765
sineWith20Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,75,71.533203125,15.928496986998653
sineWith20Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,75,75.0,15.928496986998653
sine,44100,zerocross,n/a,100,100.02520161290323,0.00016271099593723193
sine,44100,autocorrelation,n/a,100,44100.0,7.011747001997719
sine,44100,AMDF,b=1,100,100.0,9.436695118994976
sine,44100,naiveFT,isCustomFFT=False,100,107.666015625,0.00029126700246706605
sine,44100,cepstrum,isCustomFFT=False,100,3678.5888671875,0.00035262000164948404
sine,44100,HPS,isCustomFFT=False&numDownsamples=4,100,21.533203125,0.004054816999996547
sine,44100,average,b=1&isCustomFFT=False&numDownsamples=4,100,102.56373907930107,16.453303535992745
sine,44100,median,b=1&isCustomFFT=False&numDownsamples=4,100,100.02520161290323,16.453303535992745
saw,44100,zerocross,n/a,100,100.02520161290323,0.0002693839996936731
saw,44100,autocorrelation,n/a,100,100.0,8.313852252998913
saw,44100,AMDF,b=1,100,100.0,8.664224612999533
saw,44100,naiveFT,isCustomFFT=False,100,107.666015625,0.0002990060020238161
